Thetas Estimation;Log Var Thetas Estimation
-0.53630567;-4.210791
-2.3955963;-3.6874614
-0.23755157;-3.7728574
-0.35771894;-4.7167034
-2.4204915;-3.9140906
2.76583;-4.463154
-0.13872561;-3.9644518
1.237529;-4.3258944
-0.4966741;-3.8998263
1.5083437;-4.572108
-0.5703092;-4.114699
0.34068167;-4.3196435
1.9690626;-3.9453983
-2.9244323;-3.877468
1.6681771;-4.6498194
3.067772;-3.6131132
-2.686289;-4.222589
-1.4056584;-3.5636234
2.293811;-4.271213
1.4051818;-4.0854015
-1.4988242;-3.797504
1.6058921;-3.6953888
-2.4735193;-4.280165
-2.0061116;-3.7461326
0.8712757;-4.0574145
1.6374696;-3.8983831
-2.8232799;-3.966277
1.6543238;-3.8087292
0.89147633;-4.5047717
1.7771953;-3.8058417
0.30400485;-4.311637
0.24234787;-3.3649135
-1.8863192;-4.166242
1.0818926;-3.969807
0.45656908;-4.0584297
1.7598276;-3.9378006
0.030904606;-3.7229385
-1.3231854;-3.9147582
-2.0968263;-4.1186867
-1.6750077;-3.8793924
0.7981657;-4.640131
-2.2521946;-3.8467162
0.44301665;-4.500147
-2.6859918;-3.6215484
0.80845946;-4.340176
-1.6969723;-3.9430618
-0.86119777;-3.6799555
-2.659977;-4.528851
1.7611045;-3.8969438
1.6805094;-4.4523606
2.577303;-4.2715044
-1.3135314;-3.4610906
-1.688778;-4.151188
-2.5957477;-3.721059
-1.6807281;-3.9553678
0.102936946;-4.365754
-2.1877239;-3.8881872
0.4500456;-4.277865
1.3119907;-4.2777243
-2.6784437;-4.211359
-2.7237628;-3.8247862
-2.7927985;-3.61972
1.884986;-4.1379213
-2.2168596;-4.079307
1.9524503;-4.930457
-1.5391163;-3.7088687
1.899373;-3.4042554
0.71076083;-4.22498
0.11416329;-4.2050757
0.9188356;-3.553993
2.245672;-4.3464794
0.8750214;-4.3696203
1.3678113;-4.0066247
-0.9867726;-4.758771
2.554892;-4.2152762
0.48228824;-4.3841257
-3.0521967;-3.7626927
2.0588992;-4.5128307
1.8260438;-4.2514615
1.2699085;-4.1819406
-1.6753547;-4.140819
1.7920592;-4.1278157
2.2058618;-3.8271375
-0.91597354;-4.136285
-1.3608173;-3.9129243
0.3542591;-4.102666
2.273716;-4.3161783
-1.7896187;-4.852004
-0.60421056;-4.151974
1.5234762;-4.0060296
0.8237079;-3.8308694
-1.7717521;-4.1475935
-1.1715896;-3.447489
-1.4305212;-4.3988028
1.6040972;-4.246722
-2.2451077;-3.977216
2.3981078;-3.9038637
-1.3922427;-3.8092372
-0.2636094;-4.0445676
2.0236113;-3.9718616
0.88497275;-4.091123
-2.3555403;-4.2020955
2.6692991;-4.1843057
-1.8858721;-3.7058196
0.58825076;-3.4203663
-1.5541346;-3.587941
0.008390643;-4.0565495
-1.951159;-3.0485504
0.5225725;-4.0244102
-2.6943405;-3.2504241
-0.15121755;-4.315999
-0.42719954;-4.4784207
0.16671866;-3.538397
1.2986796;-4.112066
2.6317735;-4.214832
-1.5172635;-4.142369
-1.8533918;-3.8582711
-2.1204715;-3.7334435
-2.9056423;-3.9889615
-2.100871;-4.4995565
2.2910943;-4.17398
0.40976197;-3.6755052
-1.2537643;-3.9843948
-1.9812073;-3.8473048
1.3649338;-4.0393796
-0.5573655;-4.1650877
1.7785865;-4.393613
-0.30183604;-3.9616215
-1.6444479;-4.1334853
-0.45074695;-3.6537752
-0.4290239;-4.4700036
-0.51862633;-3.6528177
2.7489583;-4.198554
-0.444117;-4.806807
1.1632152;-4.042804
-3.020963;-4.0577607
-1.4059457;-3.7741969
-0.7875639;-3.5268328
1.3533024;-3.9538507
2.645569;-3.4409368
0.16235876;-4.1880784
0.605544;-4.5956807
-0.18827282;-4.2193284
-2.9001465;-3.944912
2.3488746;-4.3808656
-2.301006;-4.0369925
-2.525528;-3.9872746
1.364529;-4.122991
-0.9158168;-3.875928
-0.56295234;-4.3291674
1.4980379;-4.615861
0.23899043;-3.6001666
1.483575;-3.9958837
0.58654505;-4.4587436
2.1922193;-4.228765
2.2920704;-4.6435866
1.5145199;-4.0334506
1.7031937;-4.1042953
2.000429;-4.1352053
2.0381753;-4.168113
1.27751;-3.783411
-0.5914419;-4.1566286
0.46734965;-4.3397293
-2.5052922;-3.475349
0.1281488;-4.318073
0.36716017;-3.8536534
2.078943;-4.384589
-2.2752087;-3.196231
1.5479379;-4.218882
-1.9657538;-3.7801452
-0.30807146;-4.321973
1.6850841;-4.4115243
-1.7088336;-4.237919
-0.065116994;-3.45083
-2.0040345;-3.8061492
2.887637;-3.9245038
-0.6971841;-4.463116
0.59584236;-4.8363166
-1.7908713;-4.125943
0.3364203;-4.322673
1.6687382;-3.637559
2.3370566;-4.047552
-0.29739344;-3.8653395
-2.1620617;-3.5979981
-0.8253921;-4.240829
2.0093045;-4.3947053
1.4975837;-4.2032986
-1.6621758;-4.0336266
1.5917608;-4.5515633
2.009935;-4.622389
1.3990407;-4.3283777
-0.5080948;-4.004736
-0.80951256;-4.685174
2.797097;-4.4780493
1.7390652;-4.653467
0.50177133;-4.4353657
1.0125396;-4.1796093
0.67050177;-3.9417539
-0.041390665;-4.2318068
1.1703073;-4.097436
0.8355193;-3.8883953
-1.9528458;-4.226373
0.5890018;-3.8313203
-0.9145685;-3.9711556
-3.190548;-3.833168
-0.74478203;-4.3328166
2.4034941;-4.296365
-0.79846287;-3.5795643
-3.0997784;-3.3827143
-2.0545588;-3.926941
0.2304768;-4.2854304
-0.23537612;-3.4300447
-1.5850955;-3.761325
2.2618613;-4.451024
